Source;Target;Type
Dm7;F;Directed
G;Cdim;Directed
C9;G7;Directed
G7/13;G7;Directed
A7;Fmaj7;Directed
F#m5-/7;C;Directed
Dm7;C7;Directed
Am;A#dim;Directed
D;D#;Directed
A#7;G7;Directed
A7;G;Directed
A#7;D#6;Directed
F9;C7;Directed
Cm6;Cm7;Directed
Cmaj7;Em7/5-;Directed
Dm;Edim;Directed
A;C;Directed
C;Fdim;Directed
Gdim;Fdim;Directed
Fm7;Dm;Directed
Am;Am5-/7;Directed
Am7;Am7/D;Directed
Dm5-/7;F#m5-/7;Directed
Dm7;G4/7;Directed
A7/9;A;Directed
G9;A#dim;Directed
G4/7;G7;Directed
Fmaj7;Fdim;Directed
Adim;Gm;Directed
A7;A7/9;Directed
A#;F;Directed
Dm;G7/9;Directed
D#m;Dm;Directed
Dm7;G#7;Directed
C;A#dim;Directed
A7;Em5-/7;Directed
D5-/7;Fm;Directed
G7/13;C7;Directed
D7;Dm5-/7;Directed
Cm;C;Directed
G#dim;G7;Directed
G9;F#m;Directed
G9;Gm;Directed
A#;C7;Directed
Fm;Fm7;Directed
Cdim;Dm7;Directed
A7;Gm7;Directed
A7;D7/9;Directed
G7/9;D#m7;Directed
E;Am7;Directed
Em;D;Directed
F;Dm;Directed
Dm;Dm7/G;Directed
C9;C6;Directed
A7;F9;Directed
Am;G9;Directed
Em7/5-;A7;Directed
G7;C9;Directed
E7;E7/A;Directed
C;D#7;Directed
F;A#;Directed
A#7;D#;Directed
A;Em5-/7;Directed
Cdim;Em5-/7;Directed
F;G4/7;Directed
A7;Ddim;Directed
B7;A#7;Directed
Am6;Em5-/7;Directed
A7/9-;Dm7;Directed
Amaj7;A7;Directed
G;Am7;Directed
Gm;G9;Directed
Fm7;A#dim;Directed
Emaj7;Fmaj7;Directed
D#dim;D7;Directed
D9;G;Directed
A;A#7;Directed
Am/D;G7;Directed
D#dim;Fm;Directed
G7;D;Directed
E7/13-;E7;Directed
Dm7;Gdim;Directed
C7;Am7;Directed
G7;G;Directed
