Source;Target;Type
G7+;G#7;Directed
Cm7;G;Directed
Cdim;Em7;Directed
C#;G#;Directed
G#;F#maj7;Directed
F9;F6;Directed
F;Ddim;Directed
Dm;Bm5-/7;Directed
Gm;Fm;Directed
G7;G#;Directed
G;F;Directed
D#;E;Directed
F;Gm;Directed
C7;A#m7/5-;Directed
Em7;F#m7;Directed
A;Am7;Directed
D#7;G#7;Directed
A#;D#7;Directed
A#7;D#7;Directed
G;C7;Directed
A7;Am7/F;Directed
Fm;Bb9;Directed
Fm7;G9;Directed
G7;C7+;Directed
G#7;C#;Directed
C/F;D;Directed
G;D7;Directed
D#dim;G#dim;Directed
C;D;Directed
F;A#m7;Directed
Am;Em5-/7;Directed
A#9;C;Directed
F#m7;A7;Directed
C6;G;Directed
Dm;Gm7;Directed
D;Dm;Directed
D#9;Dm7;Directed
E7;A#dim;Directed
C/A;C;Directed
C7;Gm7/5-;Directed
Em;A;Directed
G;C6;Directed
G;D#;Directed
F#m7;Cdim;Directed
F#dim;C;Directed
F7;F6;Directed
D7/9;C;Directed
G5+;C7+;Directed
A#9;Dm;Directed
G#7;G7;Directed
D;A#;Directed
G;Cdim;Directed
F7/9;Am7;Directed
G#dim;D#7;Directed
A#7;Em;Directed
D#;G;Directed
E7;Am5-/7;Directed
C7+;C5+;Directed
D;C#m;Directed
A#;G7;Directed
D;D#;Directed
A#7;G7;Directed
G;Cdim7;Directed
Dm5-/7;G#dim;Directed
A#7;D#6;Directed
C#m;D;Directed
G;Cm;Directed
Gm;A9;Directed
A;C;Directed
C;Fdim;Directed
Gdim;Fdim;Directed
Fm7;Dm;Directed
Cm;C9;Directed
Dm5-/7;F#m5-/7;Directed
C7;Cdim7;Directed
A7/9;A;Directed
Bm5-/7;Em5-/7;Directed
G9;A#dim;Directed
Adim;Gm;Directed
G4/7;G7;Directed
A#;F;Directed
D#m;Dm;Directed
A#m6;F;Directed
D5-/7;Fm;Directed
D7;Dm5-/7;Directed
Cm;C;Directed
F#7;D#7;Directed
A#7;Dm;Directed
G#dim;G7;Directed
A#;C7;Directed
Fm;Fm7;Directed
G6;C6;Directed
Cdim;Dm7;Directed
A7;Gm7;Directed
A7;D7/9;Directed
Am7;D5-/7;Directed
Em;D;Directed
F#;C#;Directed
A;A#;Directed
F;Dm;Directed
G#7;C6;Directed
C;D#9;Directed
D#7;C#7;Directed
Em;G;Directed
E;A;Directed
Am;G9;Directed
G7;C9;Directed
E7;E7/A;Directed
Csus4;G7;Directed
C;D#7;Directed
F;A#;Directed
A#;D#;Directed
A#7;D#;Directed
D#;Gm;Directed
F;G4/7;Directed
D#;Em7;Directed
B7;A#7;Directed
A7/9-;Dm7;Directed
G#dim;C7;Directed
Gm;G9;Directed
Am6;E7/9-;Directed
Fm7;A#dim;Directed
G#;C;Directed
F;G#7;Directed
A7;Am5-/7;Directed
D#;D#7;Directed
G;A;Directed
D#dim;Fm;Directed
E7/13-;E7;Directed
Dm7;Gdim;Directed
Cm7;C;Directed
Am7;D7/9;Directed
A#6/C;F9;Directed
Em;B7;Directed
A;A#dim;Directed
Ddim;Gm7;Directed
Fm6;A;Directed
G#dim;C6;Directed
F#;F;Directed
Gdim;Em;Directed
Fm5-/7;G9;Directed
A;Fm7;Directed
A#;C/F;Directed
F6;Fmaj7;Directed
F;A#dim;Directed
A;Am;Directed
Fdim;D7;Directed
F6;Cmaj7;Directed
Am;C7;Directed
Fm7;Dm5-/7;Directed
Gm;C;Directed
A#dim;A7;Directed
C7+;G#7;Directed
Cm7;Dm7;Directed
F;G#dim;Directed
G7/9;G7;Directed
A5+;Dm7;Directed
Fdim;A7;Directed
E;D;Directed
Am;A#;Directed
Fdim;C6;Directed
B;C#m;Directed
Am7;Am5-/7;Directed
Cm;Am;Directed
C;Fm5-/7;Directed
Am7;F7/9;Directed
Am7;Am9;Directed
D;E;Directed
Am5-/7;D7;Directed
Ddim;Am;Directed
Em;Edim;Directed
A;F7;Directed
E7;A#7;Directed
Dm5-/7;G;Directed
A7/9-;Am;Directed
Am;G#7;Directed
Fm5-/7;F;Directed
