from,from_l,to,to_l
52,Am/C,51,Am
66,Am7/G,59,Am7
31,A7M,68,Amaj7
101,Bbmaj,81,Bb
124,C/E,116,C
143,C7M,156,Cmaj7
123,C/B,156,Cmaj7
210,Dmaj,159,D
194,Dm/C,199,Dm7
207,Dm7/C,199,Dm7
174,D7M,211,Dmaj7
224,E7/B,215,E7
225,E7M,254,Emaj7
263,F/A,255,F
264,F/C,255,F
277,F7/A,273,F7
278,F7/C,273,F7
266,F/E,293,Fmaj7
279,F7M,293,Fmaj7
303,G/B,295,G
326,G7/B,314,G7
327,G7M,363,Gmaj7
