Source;Target;Type;Id;Label;Weight
153.0;189.0;Directed;;;
199.0;198.0;Directed;;;
199.0;207.0;Directed;;;
191.0;116.0;Directed;;;
39.0;132.0;Directed;;;
39.0;116.0;Directed;;;
59.0;39.0;Directed;;;
116.0;19.0;Directed;;;
188.0;85.0;Directed;;;
153.0;188.0;Directed;;;
21.0;199.0;Directed;;;
85.0;86.0;Directed;;;
193.0;187.0;Directed;;;
168.0;198.0;Directed;;;
163.0;198.0;Directed;;;
187.0;198.0;Directed;;;
19.0;168.0;Directed;;;
116.0;188.0;Directed;;;
116.0;21.0;Directed;;;
116.0;191.0;Directed;;;
191.0;19.0;Directed;;;
51.0;215.0;Directed;;;
19.0;193.0;Directed;;;
176.0;170.0;Directed;;;
175.0;199.0;Directed;;;
170.0;232.0;Directed;;;
191.0;198.0;Directed;;;
215.0;51.0;Directed;;;
232.0;199.0;Directed;;;
51.0;175.0;Directed;;;
185.0;199.0;Directed;;;
59.0;199.0;Directed;;;
198.0;116.0;Directed;;;
176.0;116.0;Directed;;;
198.0;215.0;Directed;;;
198.0;132.0;Directed;;;
132.0;19.0;Directed;;;
198.0;156.0;Directed;;;
156.0;185.0;Directed;;;
199.0;198.0;Directed;;;
199.0;198.0;Directed;;;
198.0;193.0;Directed;;;
156.0;233.0;Directed;;;
116.0;198.0;Directed;;;
233.0;135.0;Directed;;;
135.0;191.0;Directed;;;
19.0;199.0;Directed;;;
132.0;59.0;Directed;;;
112.0;215.0;Directed;;;
193.0;112.0;Directed;;;
215.0;233.0;Directed;;;
116.0;176.0;Directed;;;
51.0;176.0;Directed;;;
39.0;199.0;Directed;;;
198.0;213.0;Directed;;;
132.0;233.0;Directed;;;
233.0;135.0;Directed;;;
198.0;132.0;Directed;;;
156.0;164.0;Directed;;;
170.0;59.0;Directed;;;
198.0;170.0;Directed;;;
213.0;191.0;Directed;;;
188.0;85.0;Directed;;;
164.0;39.0;Directed;;;
191.0;188.0;Directed;;;
59.0;168.0;Directed;;;
199.0;198.0;Directed;;;
168.0;199.0;Directed;;;
85.0;156.0;Directed;;;
135.0;191.0;Directed;;;
39.0;177.0;Directed;;;
187.0;213.0;Directed;;;
177.0;224.0;Directed;;;
199.0;112.0;Directed;;;
164.0;177.0;Directed;;;
170.0;163.0;Directed;;;
178.0;170.0;Directed;;;
91.0;32.0;Directed;;;
177.0;187.0;Directed;;;
163.0;199.0;Directed;;;
59.0;199.0;Directed;;;
224.0;73.0;Directed;;;
192.0;187.0;Directed;;;
200.0;132.0;Directed;;;
198.0;156.0;Directed;;;
217.0;114.0;Directed;;;
199.0;32.0;Directed;;;
199.0;198.0;Directed;;;
79.0;91.0;Directed;;;
238.0;116.0;Directed;;;
132.0;164.0;Directed;;;
132.0;170.0;Directed;;;
114.0;192.0;Directed;;;
99.0;164.0;Directed;;;
188.0;99.0;Directed;;;
214.0;79.0;Directed;;;
187.0;217.0;Directed;;;
73.0;188.0;Directed;;;
32.0;199.0;Directed;;;
156.0;178.0;Directed;;;
199.0;200.0;Directed;;;
177.0;164.0;Directed;;;
112.0;215.0;Directed;;;
215.0;59.0;Directed;;;
34.0;132.0;Directed;;;
213.0;214.0;Directed;;;
164.0;39.0;Directed;;;
32.0;238.0;Directed;;;
170.0;34.0;Directed;;;
172.0;34.0;Directed;;;
219.0;59.0;Directed;;;
198.0;170.0;Directed;;;
85.0;170.0;Directed;;;
207.0;116.0;Directed;;;
116.0;232.0;Directed;;;
170.0;163.0;Directed;;;
51.0;224.0;Directed;;;
205.0;116.0;Directed;;;
163.0;199.0;Directed;;;
235.0;237.0;Directed;;;
153.0;62.0;Directed;;;
198.0;116.0;Directed;;;
48.0;182.0;Directed;;;
199.0;198.0;Directed;;;
182.0;99.0;Directed;;;
224.0;191.0;Directed;;;
62.0;199.0;Directed;;;
42.0;205.0;Directed;;;
199.0;207.0;Directed;;;
199.0;219.0;Directed;;;
39.0;199.0;Directed;;;
170.0;19.0;Directed;;;
198.0;42.0;Directed;;;
232.0;48.0;Directed;;;
237.0;38.0;Directed;;;
191.0;172.0;Directed;;;
199.0;85.0;Directed;;;
59.0;51.0;Directed;;;
188.0;99.0;Directed;;;
34.0;199.0;Directed;;;
19.0;199.0;Directed;;;
116.0;164.0;Directed;;;
188.0;153.0;Directed;;;
164.0;39.0;Directed;;;
99.0;232.0;Directed;;;
232.0;38.0;Directed;;;
99.0;235.0;Directed;;;
38.0;188.0;Directed;;;
165.0;164.0;Directed;;;
170.0;232.0;Directed;;;
85.0;170.0;Directed;;;
39.0;189.0;Directed;;;
232.0;199.0;Directed;;;
199.0;180.0;Directed;;;
191.0;85.0;Directed;;;
180.0;170.0;Directed;;;
202.0;180.0;Directed;;;
189.0;132.0;Directed;;;
180.0;132.0;Directed;;;
188.0;85.0;Directed;;;
85.0;231.0;Directed;;;
180.0;233.0;Directed;;;
132.0;188.0;Directed;;;
233.0;135.0;Directed;;;
135.0;191.0;Directed;;;
85.0;165.0;Directed;;;
189.0;202.0;Directed;;;
168.0;189.0;Directed;;;
231.0;168.0;Directed;;;
164.0;39.0;Directed;;;
198.0;200.0;Directed;;;
191.0;187.0;Directed;;;
198.0;116.0;Directed;;;
187.0;116.0;Directed;;;
111.0;215.0;Directed;;;
200.0;116.0;Directed;;;
215.0;59.0;Directed;;;
135.0;191.0;Directed;;;
59.0;168.0;Directed;;;
116.0;163.0;Directed;;;
116.0;111.0;Directed;;;
199.0;198.0;Directed;;;
198.0;233.0;Directed;;;
168.0;199.0;Directed;;;
233.0;135.0;Directed;;;
163.0;199.0;Directed;;;
205.0;170.0;Directed;;;
170.0;59.0;Directed;;;
198.0;170.0;Directed;;;
116.0;59.0;Directed;;;
199.0;112.0;Directed;;;
59.0;170.0;Directed;;;
199.0;205.0;Directed;;;
207.0;132.0;Directed;;;
112.0;228.0;Directed;;;
205.0;116.0;Directed;;;
185.0;224.0;Directed;;;
59.0;199.0;Directed;;;
224.0;73.0;Directed;;;
198.0;116.0;Directed;;;
215.0;19.0;Directed;;;
132.0;83.0;Directed;;;
71.0;133.0;Directed;;;
228.0;51.0;Directed;;;
187.0;224.0;Directed;;;
199.0;198.0;Directed;;;
73.0;212.0;Directed;;;
212.0;185.0;Directed;;;
164.0;199.0;Directed;;;
132.0;225.0;Directed;;;
46.0;187.0;Directed;;;
83.0;71.0;Directed;;;
198.0;205.0;Directed;;;
209.0;198.0;Directed;;;
34.0;199.0;Directed;;;
170.0;164.0;Directed;;;
225.0;73.0;Directed;;;
73.0;215.0;Directed;;;
73.0;46.0;Directed;;;
19.0;199.0;Directed;;;
51.0;61.0;Directed;;;
61.0;59.0;Directed;;;
205.0;207.0;Directed;;;
59.0;209.0;Directed;;;
170.0;34.0;Directed;;;
112.0;227.0;Directed;;;
188.0;151.0;Directed;;;
227.0;55.0;Directed;;;
74.0;151.0;Directed;;;
55.0;225.0;Directed;;;
102.0;112.0;Directed;;;
225.0;188.0;Directed;;;
230.0;102.0;Directed;;;
168.0;230.0;Directed;;;
151.0;74.0;Directed;;;
199.0;193.0;Directed;;;
177.0;156.0;Directed;;;
228.0;59.0;Directed;;;
112.0;228.0;Directed;;;
198.0;199.0;Directed;;;
198.0;156.0;Directed;;;
156.0;188.0;Directed;;;
199.0;198.0;Directed;;;
156.0;199.0;Directed;;;
170.0;19.0;Directed;;;
73.0;170.0;Directed;;;
188.0;85.0;Directed;;;
156.0;153.0;Directed;;;
59.0;51.0;Directed;;;
168.0;177.0;Directed;;;
85.0;165.0;Directed;;;
19.0;199.0;Directed;;;
225.0;73.0;Directed;;;
51.0;225.0;Directed;;;
193.0;112.0;Directed;;;
165.0;198.0;Directed;;;
153.0;168.0;Directed;;;
154.0;182.0;Directed;;;
33.0;34.0;Directed;;;
67.0;209.0;Directed;;;
179.0;154.0;Directed;;;
217.0;67.0;Directed;;;
23.0;198.0;Directed;;;
103.0;33.0;Directed;;;
34.0;198.0;Directed;;;
209.0;179.0;Directed;;;
198.0;217.0;Directed;;;
209.0;103.0;Directed;;;
102.0;23.0;Directed;;;
33.0;209.0;Directed;;;
182.0;102.0;Directed;;;
19.0;193.0;Directed;;;
207.0;116.0;Directed;;;
212.0;186.0;Directed;;;
212.0;19.0;Directed;;;
116.0;168.0;Directed;;;
168.0;199.0;Directed;;;
224.0;73.0;Directed;;;
198.0;116.0;Directed;;;
215.0;19.0;Directed;;;
191.0;73.0;Directed;;;
200.0;144.0;Directed;;;
199.0;198.0;Directed;;;
73.0;212.0;Directed;;;
164.0;170.0;Directed;;;
199.0;207.0;Directed;;;
193.0;199.0;Directed;;;
34.0;175.0;Directed;;;
199.0;164.0;Directed;;;
116.0;19.0;Directed;;;
116.0;212.0;Directed;;;
175.0;200.0;Directed;;;
186.0;224.0;Directed;;;
175.0;199.0;Directed;;;
73.0;215.0;Directed;;;
144.0;191.0;Directed;;;
19.0;175.0;Directed;;;
170.0;34.0;Directed;;;
116.0;199.0;Directed;;;
198.0;225.0;Directed;;;
163.0;170.0;Directed;;;
238.0;226.0;Directed;;;
198.0;170.0;Directed;;;
207.0;116.0;Directed;;;
170.0;163.0;Directed;;;
116.0;233.0;Directed;;;
192.0;175.0;Directed;;;
198.0;116.0;Directed;;;
175.0;238.0;Directed;;;
34.0;170.0;Directed;;;
191.0;176.0;Directed;;;
176.0;59.0;Directed;;;
233.0;144.0;Directed;;;
199.0;198.0;Directed;;;
188.0;198.0;Directed;;;
59.0;175.0;Directed;;;
199.0;207.0;Directed;;;
144.0;192.0;Directed;;;
175.0;233.0;Directed;;;
199.0;170.0;Directed;;;
188.0;170.0;Directed;;;
170.0;32.0;Directed;;;
32.0;199.0;Directed;;;
175.0;199.0;Directed;;;
170.0;198.0;Directed;;;
34.0;199.0;Directed;;;
144.0;191.0;Directed;;;
170.0;188.0;Directed;;;
225.0;188.0;Directed;;;
226.0;59.0;Directed;;;
170.0;34.0;Directed;;;
153.0;178.0;Directed;;;
198.0;157.0;Directed;;;
170.0;232.0;Directed;;;
198.0;170.0;Directed;;;
153.0;202.0;Directed;;;
207.0;132.0;Directed;;;
232.0;199.0;Directed;;;
198.0;199.0;Directed;;;
193.0;198.0;Directed;;;
178.0;102.0;Directed;;;
198.0;116.0;Directed;;;
157.0;193.0;Directed;;;
102.0;99.0;Directed;;;
198.0;153.0;Directed;;;
132.0;198.0;Directed;;;
198.0;156.0;Directed;;;
199.0;198.0;Directed;;;
202.0;198.0;Directed;;;
199.0;207.0;Directed;;;
156.0;199.0;Directed;;;
232.0;48.0;Directed;;;
156.0;153.0;Directed;;;
48.0;202.0;Directed;;;
207.0;170.0;Directed;;;
99.0;232.0;Directed;;;
