Source;Target;Type;Id;Label;Weight
61;12;Directed;;;
113;123;Directed;;;
163;133;Directed;;;
35;133;Directed;;;
224;45;Directed;;;
128;123;Directed;;;
200;87;Directed;;;
198;105;Directed;;;
217;82;Directed;;;
133;12;Directed;;;
133;198;Directed;;;
51;61;Directed;;;
160;84;Directed;;;
87;164;Directed;;;
87;170;Directed;;;
82;128;Directed;;;
69;164;Directed;;;
188;69;Directed;;;
214;51;Directed;;;
123;217;Directed;;;
45;188;Directed;;;
12;133;Directed;;;
105;178;Directed;;;
133;200;Directed;;;
113;164;Directed;;;
80;142;Directed;;;
142;35;Directed;;;
14;87;Directed;;;
213;214;Directed;;;
164;19;Directed;;;
12;160;Directed;;;
170;14;Directed;;;
172;14;Directed;;;
146;35;Directed;;;
198;170;Directed;;;
57;170;Directed;;;
207;84;Directed;;;
84;154;Directed;;;
170;163;Directed;;;
31;224;Directed;;;
205;84;Directed;;;
163;133;Directed;;;
157;159;Directed;;;
102;37;Directed;;;
198;84;Directed;;;
28;182;Directed;;;
133;198;Directed;;;
182;69;Directed;;;
224;191;Directed;;;
37;133;Directed;;;
22;205;Directed;;;
133;207;Directed;;;
133;146;Directed;;;
19;133;Directed;;;
170;3;Directed;;;
198;22;Directed;;;
154;28;Directed;;;
159;18;Directed;;;
191;172;Directed;;;
133;57;Directed;;;
35;31;Directed;;;
188;69;Directed;;;
14;133;Directed;;;
3;133;Directed;;;
84;164;Directed;;;
188;102;Directed;;;
164;19;Directed;;;
69;154;Directed;;;
154;18;Directed;;;
69;157;Directed;;;
18;188;Directed;;;
165;164;Directed;;;
170;154;Directed;;;
57;170;Directed;;;
19;125;Directed;;;
154;133;Directed;;;
133;116;Directed;;;
191;57;Directed;;;
116;170;Directed;;;
135;116;Directed;;;
125;87;Directed;;;
116;87;Directed;;;
188;57;Directed;;;
57;153;Directed;;;
116;233;Directed;;;
87;188;Directed;;;
233;89;Directed;;;
89;191;Directed;;;
57;165;Directed;;;
125;135;Directed;;;
108;125;Directed;;;
153;108;Directed;;;
164;19;Directed;;;
198;200;Directed;;;
191;187;Directed;;;
198;84;Directed;;;
187;84;Directed;;;
79;142;Directed;;;
200;84;Directed;;;
142;35;Directed;;;
89;191;Directed;;;
35;108;Directed;;;
84;163;Directed;;;
84;79;Directed;;;
133;198;Directed;;;
198;233;Directed;;;
108;133;Directed;;;
233;89;Directed;;;
163;133;Directed;;;
205;170;Directed;;;
170;35;Directed;;;
198;170;Directed;;;
84;35;Directed;;;
133;80;Directed;;;
35;170;Directed;;;
133;205;Directed;;;
207;87;Directed;;;
80;150;Directed;;;
205;84;Directed;;;
185;224;Directed;;;
35;133;Directed;;;
224;45;Directed;;;
198;84;Directed;;;
142;3;Directed;;;
87;55;Directed;;;
43;88;Directed;;;
150;31;Directed;;;
123;224;Directed;;;
133;198;Directed;;;
45;140;Directed;;;
140;185;Directed;;;
164;133;Directed;;;
87;225;Directed;;;
26;123;Directed;;;
55;43;Directed;;;
198;205;Directed;;;
137;198;Directed;;;
14;133;Directed;;;
170;164;Directed;;;
225;45;Directed;;;
45;142;Directed;;;
45;26;Directed;;;
3;133;Directed;;;
31;36;Directed;;;
36;35;Directed;;;
205;207;Directed;;;
35;137;Directed;;;
170;14;Directed;;;
80;149;Directed;;;
188;100;Directed;;;
149;32;Directed;;;
46;100;Directed;;;
32;225;Directed;;;
72;80;Directed;;;
225;188;Directed;;;
230;72;Directed;;;
168;230;Directed;;;
100;46;Directed;;;
133;129;Directed;;;
113;105;Directed;;;
150;35;Directed;;;
80;150;Directed;;;
198;133;Directed;;;
198;105;Directed;;;
105;188;Directed;;;
133;198;Directed;;;
105;133;Directed;;;
170;3;Directed;;;
45;170;Directed;;;
188;57;Directed;;;
105;102;Directed;;;
35;31;Directed;;;
108;113;Directed;;;
57;165;Directed;;;
3;133;Directed;;;
225;45;Directed;;;
31;225;Directed;;;
129;80;Directed;;;
165;198;Directed;;;
102;108;Directed;;;
103;182;Directed;;;
13;14;Directed;;;
39;137;Directed;;;
115;103;Directed;;;
144;39;Directed;;;
7;132;Directed;;;
73;13;Directed;;;
14;132;Directed;;;
137;115;Directed;;;
132;144;Directed;;;
137;73;Directed;;;
72;7;Directed;;;
13;137;Directed;;;
182;72;Directed;;;
3;129;Directed;;;
207;84;Directed;;;
140;122;Directed;;;
140;3;Directed;;;
84;108;Directed;;;
108;133;Directed;;;
224;45;Directed;;;
198;84;Directed;;;
142;3;Directed;;;
191;45;Directed;;;
200;93;Directed;;;
133;198;Directed;;;
45;140;Directed;;;
164;170;Directed;;;
133;207;Directed;;;
129;133;Directed;;;
14;111;Directed;;;
133;164;Directed;;;
84;3;Directed;;;
84;140;Directed;;;
111;200;Directed;;;
122;224;Directed;;;
111;133;Directed;;;
45;142;Directed;;;
93;191;Directed;;;
3;111;Directed;;;
170;14;Directed;;;
84;133;Directed;;;
198;225;Directed;;;
163;170;Directed;;;
238;148;Directed;;;
198;170;Directed;;;
207;84;Directed;;;
170;163;Directed;;;
84;233;Directed;;;
192;111;Directed;;;
198;84;Directed;;;
111;238;Directed;;;
14;110;Directed;;;
191;176;Directed;;;
176;35;Directed;;;
233;93;Directed;;;
133;198;Directed;;;
188;198;Directed;;;
35;111;Directed;;;
133;207;Directed;;;
93;192;Directed;;;
111;233;Directed;;;
133;170;Directed;;;
188;170;Directed;;;
170;12;Directed;;;
12;133;Directed;;;
111;133;Directed;;;
110;198;Directed;;;
14;133;Directed;;;
93;191;Directed;;;
170;188;Directed;;;
225;188;Directed;;;
148;35;Directed;;;
170;14;Directed;;;
102;178;Directed;;;
198;106;Directed;;;
170;154;Directed;;;
198;170;Directed;;;
102;135;Directed;;;
207;87;Directed;;;
154;133;Directed;;;
198;133;Directed;;;
129;198;Directed;;;
178;72;Directed;;;
198;84;Directed;;;
106;129;Directed;;;
72;69;Directed;;;
198;102;Directed;;;
87;198;Directed;;;
198;105;Directed;;;
133;198;Directed;;;
135;198;Directed;;;
133;207;Directed;;;
105;133;Directed;;;
154;28;Directed;;;
